Quality	#1 ID	#2 ID	#1 String	#2 String
0	7871091	6895735	転送 電話 サービス に 申し込み たい	マイナンバーカード 写真 付き で 本人 確認 でき ます か
1	5663983	1375418	スマート 留守電 に 申し込み たい	楽天 マンガ 月額 コース 楽天 モバイル に 申し込み たい
0	5663983	5782271	スマート 留守電 に 申し込み たい	アップ ロード の 手続き 中 です が 、 写真 選択 が でき ず アップ ロード でき ませ ん
1	1375418	3366090	楽天 マンガ 月額 コース 楽天 モバイル に 申し込み たい	オプション を 使い たい
0	1375418	5586513	楽天 マンガ 月額 コース 楽天 モバイル に 申し込み たい	申込み し た の です が 、 書類 の 再 提出 に なり まし た
1	6474565	6641624	どう すれ ば かけ 放題 が 利用 出来 ます か	かけ 放題 の 申し込み は 、 楽天 でんわ マイ ページ から です か
0	6474565	9648539	どう すれ ば かけ 放題 が 利用 出来 ます か	有効 期限 が 切れ た 障 が い 者 手帳 は 本人 確認 書類 として 利用 でき ます か
1	6013368	6086295	つながる 端末 補償 ｂ ｙ 楽天 モバイル に 申し込み たい	データ 復旧 サービス に 申し込み たい
0	6013368	1066320	つながる 端末 補償 ｂ ｙ 楽天 モバイル に 申し込み たい	自分 が 契約 し て いる プラン は どこ で 確認 でき ます か
1	6086295	6641624	データ 復旧 サービス に 申し込み たい	かけ 放題 の 申し込み は 、 楽天 でんわ マイ ページ から です か
0	6086295	2271312	データ 復旧 サービス に 申し込み たい	お 勧め の 料金 プラン を 見積もっ て いただく こと は 可能 です か
1	6058541	2732338	オプション 加入 の やり方 を 教え て ください	留守番 電話 サービス に 申し込み たい
0	6058541	1575838	オプション 加入 の やり方 を 教え て ください	情報 が わから ず 、 設定 が でき ませ ん
1	6868493	5663983	楽天 でんわ の 申し込み は 、 楽天 でんわ アプリ から する の です か	スマート 留守電 に 申し込み たい
0	6868493	5896759	楽天 でんわ の 申し込み は 、 楽天 でんわ アプリ から する の です か	本人 確認 で 免許 証 を 再 提出 し た の です が 、 申し込み の 時 に 名前 を 誤っ て カナ で 書い て しまっ て い まし た
1	1417085	6013368	メンバーズステーション から オプション を 申し込める の です か	つながる 端末 補償 ｂ ｙ 楽天 モバイル に 申し込み たい
0	1417085	6288770	メンバーズステーション から オプション を 申し込める の です か	５ 分 かけ 放題 の 解約 は 楽天 でんわ アプリ から する の です か
1	3631915	5863496	楽天 モバイル の オプション に 申し込み たい	かけ 放題 の 申し込み は 、 楽天 でんわ アプリ から する の です か
0	3631915	0612052	楽天 モバイル の オプション に 申し込み たい	お 申し込み 後 に 楽天 ポイント の 支払い 設定 は でき ます か
1	2512051	2348178	スマート フォン から も オプション に 加入 でき ます か	メンバーズステーション の どこ から オプション に 申し込み でき ます か
0	2512051	1280632	スマート フォン から も オプション に 加入 でき ます か	登録 認証 が でき ない ので 、 データ なし ） から ０ ５ ０ データ あり ） に 変更 し たい
1	4919241	5213925	メンバーズステーション で オプション サービス を 追加 でき ます か	オプション を 利用 する ため に は どう すれ ば いい です か
0	4919241	0283773	メンバーズステーション で オプション サービス を 追加 でき ます か	分 かけ 放題 から 制限 の ない かけ 放題 へ は どこ で でき ます か
1	9602348	8117855	マカフィー ® モバイル セキュリティ 版 に 申し込み たい	メンバーズステーション の どこ で オプション に 申し込み でき ます か
0	9602348	3538653	マカフィー ® モバイル セキュリティ 版 に 申し込み たい	外国 人 です が 、 自国 の パスポート は 使用 でき ます か
1	2732338	8267150	留守番 電話 サービス に 申し込み たい	楽天 でんわ の 申し込み は 、 楽天 でんわ マイ ページ から です か
0	2732338	3660486	留守番 電話 サービス に 申し込み たい	サイズ 変更 の 申請 方法 を 教え て ください
1	7036671	9789515	オプション の 加入 の ため に 、 カスタマーセンター に 連絡 する 必要 が あり ます か	オプション に 申し込み たい
0	7036671	1316683	オプション の 加入 の ため に 、 カスタマーセンター に 連絡 する 必要 が あり ます か	情報 が 知り たい
1	1599872	6474565	楽天 でんわ を 申し込み たい	どう すれ ば かけ 放題 が 利用 出来 ます か
0	1599872	7840678	楽天 でんわ を 申し込み たい	スマホ を 変え たい
1	6333008	3944471	データ シェア に 申し込み たい	どこ から オプション に 加入 でき ます か
0	6333008	1565704	データ シェア に 申し込み たい	マカフィー ® モバイル セキュリティ 版 の 契約 状況 を 確認 し たい
1	9789515	5488728	オプション に 申し込み たい	かけ 放題 を 申し込み たい
0	9789515	8179817	オプション に 申し込み たい	利用 明細 を どこ で 確認 できる か わから ない
1	9816958	6868493	楽天 マガジン に 申し込み たい	楽天 でんわ の 申し込み は 、 楽天 でんわ アプリ から する の です か
0	9816958	9808718	楽天 マガジン に 申し込み たい	申し込み を 終了 し たい
1	5256118	3631915	申込 後 も 、 オプション に 加入 でき ます か	楽天 モバイル の オプション に 申し込み たい
0	5256118	3296597	申込 後 も 、 オプション に 加入 でき ます か	から へ 変更 し たい
1	2348178	6333008	メンバーズステーション の どこ から オプション に 申し込み でき ます か	データ シェア に 申し込み たい
0	2348178	0454620	メンバーズステーション の どこ から オプション に 申し込み でき ます か	楽天 ポイント 支払い の 設定 方法 が わから ない
1	3944471	1417085	どこ から オプション に 加入 でき ます か	メンバーズステーション から オプション を 申し込める の です か
0	3944471	2637514	どこ から オプション に 加入 でき ます か	Ｇ から に 変更 でき ます か
1	6526187	6641624	オプション 加入 の 手順 は どう なり ます か	かけ 放題 の 申し込み は 、 楽天 でんわ マイ ページ から です か
0	6526187	6046233	オプション 加入 の 手順 は どう なり ます か	タイプ の 変更 を する 際 は 、 いつ まで 行え ます でしょ う か
1	7554036	3691430	オプション を 利用 し たい	フィルター マルチ デバイス に 申し込み たい
0	7554036	4265719	オプション を 利用 し たい	プラン 変更 の キャンセル を お願い し ます
1	9371150	5213925	２ ヶ月 無料 オプション に 申し込み たい	オプション を 利用 する ため に は どう すれ ば いい です か
0	9371150	8595904	２ ヶ月 無料 オプション に 申し込み たい	ベーシック プラン から へ 変更 し た が 、 キャンセル し たい
1	5213925	8267150	オプション を 利用 する ため に は どう すれ ば いい です か	楽天 でんわ の 申し込み は 、 楽天 でんわ マイ ページ から です か
0	5213925	3491354	オプション を 利用 する ため に は どう すれ ば いい です か	パソコン から の 本人 確認 が でき ませ ん
1	3691430	6282546	フィルター マルチ デバイス に 申し込み たい	５ 分 かけ 放題 の 申し込み は 、 楽天 でんわ アプリ から する の です か
0	3691430	1807221	フィルター マルチ デバイス に 申し込み たい	外国 人 の 場合 は 、 ビザ を 本人 確認 書類 として 利用 でき ます か
1	6641624	9009426	かけ 放題 の 申し込み は 、 楽天 でんわ マイ ページ から です か	メンバーズステーション で 楽天 メール を 利用 でき ます か
0	6641624	9141193	かけ 放題 の 申し込み は 、 楽天 でんわ マイ ページ から です か	オプション の 解約 を し たい の ん です が 、 メンバーズステーション に 入れ ませ ん
1	6965850	1599872	楽天 モバイル ｂ ｙ エコネクト に 申し込み たい	楽天 でんわ を 申し込み たい
0	6965850	4333035	楽天 モバイル ｂ ｙ エコネクト に 申し込み たい	台紙 以外 で 申し込み 種別 を 確認 する 方法 は あり ます か
1	8418434	1417085	開通 後 も 、 オプション に 加入 でき ます か	メンバーズステーション から オプション を 申し込める の です か
0	8418434	7661533	開通 後 も 、 オプション に 加入 でき ます か	楽天 モバイル の オプション の 契約 状況 を 確認 し たい
1	0976644	1375418	楽天 メール に 申し込み たい	楽天 マンガ 月額 コース 楽天 モバイル に 申し込み たい
0	0976644	4585631	楽天 メール に 申し込み たい	通話 で 契約 中 だ と 、 楽天 でんわ に 申し込み でき ます か
1	9638568	5488728	５ 分 かけ 放題 の 申し込み は 、 楽天 でんわ マイ ページ から です か	かけ 放題 を 申し込み たい
0	9638568	9984514	５ 分 かけ 放題 の 申し込み は 、 楽天 でんわ マイ ページ から です か	本人 確認 ページ の パスワード 何 度 いれ て も 無効 です と なり ます
1	1691505	2512051	オプション に 加入 し たい	スマート フォン から も オプション に 加入 でき ます か
0	1691505	1575838	オプション に 加入 し たい	情報 が わから ず 、 設定 が でき ませ ん
1	5863496	4005177	かけ 放題 の 申し込み は 、 楽天 でんわ アプリ から する の です か	５ 分 かけ 放題 を 申し込み たい
0	5863496	1541852	かけ 放題 の 申し込み は 、 楽天 でんわ アプリ から する の です か	タイプ で の お 申し込み の 場合 、 変更 でき ない と 聞い た の です が 、 変更 し たい 場合 は 、 いつ まで に 解約 です か
1	6282546	7713964	５ 分 かけ 放題 の 申し込み は 、 楽天 でんわ アプリ から する の です か	データ 復旧 サービス ・ マカフィー ® マルチ アクセス パック に 申し込み たい
0	6282546	8421484	５ 分 かけ 放題 の 申し込み は 、 楽天 でんわ アプリ から する の です か	検索 を 止める
1	8117855	5256118	メンバーズステーション の どこ で オプション に 申し込み でき ます か	申込 後 も 、 オプション に 加入 でき ます か
0	8117855	7455847	メンバーズステーション の どこ で オプション に 申し込み でき ます か	どこ から 申し込み 種別 を 確認 でき ます か
1	7139066	9615764	仕事 で 通話 機能 を 使う ので 、 ５ 分 かけ 放題 に 申し込み たい	分 かけ 放題 から 完全 かけ 放題 に 変更 し たい
0	7139066	9451176	仕事 で 通話 機能 を 使う ので 、 ５ 分 かけ 放題 に 申し込み たい	データ シェア は どこ で 手続き する の です か
1	5892796	9975925	５ 分 以内 通話 料 無料 なら 、 ５ 分 かけ 放題 に 申し込み たい	楽天 でんわ 円 から 分 かけ 放題 に し たい
0	5892796	2518036	５ 分 以内 通話 料 無料 なら 、 ５ 分 かけ 放題 に 申し込み たい	利用 料金 を 確認 し たい
1	0713067	8642661	月額 無料 の 楽天 でんわ から 制限 の ない かけ 放題 に 変更 し たい	５ 分 かけ 放題 を 使っ て い ます が 、 かけ 放題 に し たい
0	0713067	1636384	月額 無料 の 楽天 でんわ から 制限 の ない かけ 放題 に 変更 し たい	コミコミプラン で も データ シェア は でき ます か
1	6320089	5892796	遠く 離れ た 親 と の 連絡 に 楽天 でんわ を 使い たい	５ 分 以内 通話 料 無料 なら 、 ５ 分 かけ 放題 に 申し込み たい
0	6320089	6894041	遠く 離れ た 親 と の 連絡 に 楽天 でんわ を 使い たい	楽天 メール の パスワード を 変更 し たい の です が 登録 情報 の 変更 は どこ で でき ます か
1	1802901	5759282	今 迄 みたい に 通話 できる なら 、 ５ 分 かけ 放題 に 申し込み たい	通話 を かなり する ので 、 ５ 分 かけ 放題 に 申し込み たい
0	1802901	4569964	今 迄 みたい に 通話 できる なら 、 ５ 分 かけ 放題 に 申し込み たい	申し込み 種別 は 、 メンバーズステーション の どこ で 確認 でき ます か
1	0794559	4936204	分 かけ 放題 は 、 メンバーズステーション から 申し込め ます か	楽天 でんわ の かけ 放題 に 変更 し たい
0	0794559	3296597	分 かけ 放題 は 、 メンバーズステーション から 申し込め ます か	から へ 変更 し たい
1	1253897	0331860	どの くらい 通話 し たら 、 分 かけ 放題 の ほう が お 得 に 利用 でき ます か	かけ 放題 を 使っ て ます が 、 ５ 分 かけ 放題 に し たい
0	1253897	5287563	どの くらい 通話 し たら 、 分 かけ 放題 の ほう が お 得 に 利用 でき ます か	登録 済み の 口座 振替 情報 は どこ に 記載 が あり ます か
1	6754319	9381579	分 以内 の 通話 が 多い ので 、 分 かけ 放題 に 申し込み たい	契約 後 でも かけ 放題 オプション に 変更 でき ます か
0	6754319	5299472	分 以内 の 通話 が 多い ので 、 分 かけ 放題 に 申し込み たい	海外 の 取引 先 に 電話 し た の です が 、 通話 料金 明細 の 確認 は いつ でき ます か
1	6699020	6038356	データ あり ） です が ５ 分 かけ 放題 に 申し込め ない の でしょ う か	分 かけ 放題 は どこ から 申し込め ます か
0	6699020	2228164	データ あり ） です が ５ 分 かけ 放題 に 申し込め ない の でしょ う か	アップ ロード の が 分から ない
1	3785581	0713067	データ なし ） を 利用 中 です が ５ 分 かけ 放題 に 申し込め ない の でしょ う か	月額 無料 の 楽天 でんわ から 制限 の ない かけ 放題 に 変更 し たい
0	3785581	1280632	データ なし ） を 利用 中 です が ５ 分 かけ 放題 に 申し込め ない の でしょ う か	登録 認証 が でき ない ので 、 データ なし ） から ０ ５ ０ データ あり ） に 変更 し たい
1	1530878	6699020	通話 時間 が 短い 通話 を たくさん する ので 、 分 かけ 放題 に 申し込み たい です	データ あり ） です が ５ 分 かけ 放題 に 申し込め ない の でしょ う か
0	1530878	0432293	通話 時間 が 短い 通話 を たくさん する ので 、 分 かけ 放題 に 申し込み たい です	メンバーズステーション から の 申し込み の やり方 が 分から ない
1	6383556	5192760	分 かけ 放題 から 無 制限 の かけ 放題 に 変更 し たい	通話 契約 と 同時に 、 楽天 でんわ を 契約 でき ます か
0	6383556	2304860	分 かけ 放題 から 無 制限 の かけ 放題 に 変更 し たい	お知らせ 設定 を 変更 し まし た が 、 ちゃんと 変更 さ れ て い ます でしょ う か
1	5056365	3082203	楽天 でんわ を 使っ て ます が 、 かけ 放題 に し たい	今 、 楽天 でんわ 円 使っ て ます 。 分 かけ 放題 に 変更 でき ます か
0	5056365	4416705	楽天 でんわ を 使っ て ます が 、 かけ 放題 に し たい	タイプ の 変更 は 、 いつ まで に 行え ば いい の でしょ う か
1	9975925	9771302	楽天 でんわ 円 から 分 かけ 放題 に し たい	分 かけ 放題 に 加入 し たい
0	9975925	3616064	楽天 でんわ 円 から 分 かけ 放題 に し たい	データ シェア の 設定 を 教え て ください
1	9182871	9599442	かけ 放題 プラン へ の 変更 の 仕方 が わから ない	データ なし ） です が ５ 分 かけ 放題 に 申し込め ない の でしょ う か
0	9182871	3186508	かけ 放題 プラン へ の 変更 の 仕方 が わから ない	音声 付加 サービス の 契約 状況 を 確認 し たい
1	6669916	2283596	かけ 放題 オプション に 変更 でき ます か	楽天 でんわ 分 かけ 放題 に 加入 する 場合 、 特別 な 手続き は 必要 です か
0	6669916	7244457	かけ 放題 オプション に 変更 でき ます か	翌月 の プラン 変更 は 、 日 手続き でも 間に合い ます か
1	3802943	6699020	遠く 離れ た 人 と の 連絡 に ５ 分 かけ 放題 を 使い たい	データ あり ） です が ５ 分 かけ 放題 に 申し込め ない の でしょ う か
0	3802943	8719919	遠く 離れ た 人 と の 連絡 に ５ 分 かけ 放題 を 使い たい	あんしん リモート サポート の 契約 状況 を 確認 し たい
1	2872360	8066519	５ 分 かけ 放題 もしくは かけ 放題 の 申し込み は し て い ます か	５ 分 かけ 放題 に 申し込み たい
0	2872360	2375176	５ 分 かけ 放題 もしくは かけ 放題 の 申し込み は し て い ます か	補助 書類 って どう いっ た もの です か
1	3556750	1904592	楽天 でんわ かけ 放題 から 楽天 でんわ 分 かけ 放題 に 変更 し た 場合 、 いつ から 利用 でき ます か	かけ 放題 に 申し込み たい
0	3556750	3248435	楽天 でんわ かけ 放題 から 楽天 でんわ 分 かけ 放題 に 変更 し た 場合 、 いつ から 利用 でき ます か	タイプ の 変更 の 期限 は 、 どう なっ て い ます か
1	1367656	2305293	楽天 でんわ の かけ 放題 オプション に 変更 し たい	楽天 でんわ から 楽天 でんわ 分 かけ 放題 に 変更 し た 場合 、 いつ から 利用 でき ます か
0	1367656	6279810	楽天 でんわ の かけ 放題 オプション に 変更 し たい	本人 確認 書類 の アップ ロード 時 、 エラー と なっ て しまい ます 。 原因 は 何 でしょ う か
1	9202582	9421950	分 かけ 放題 へ の 変更 は 、 どこ から でき ます か	仕事 で 通話 機能 を 使う ので 、 楽天 でんわ に 申し込み たい
0	9202582	3802462	分 かけ 放題 へ の 変更 は 、 どこ から でき ます か	どこ で 楽天 ポイント で の 支払い に 変更 すれ ば いい です か
1	2160174	0790397	以前 から 楽天 モバイル 契約 し て い て も かけ 放題 に でき ます か	楽天 でんわ マイ ページ から 分 かけ 放題 は 申し込め ます か
0	2160174	2080323	以前 から 楽天 モバイル 契約 し て い て も かけ 放題 に でき ます か	会話 を 止める
1	6020193	0858419	契約 中 の データ プラン に 関係 なく 、 通話 を 契約 し てる と 楽天 でんわ に 申し込め ます か	固定 電話 に かけ られる なら 、 分 かけ 放題 に 申し込み たい です
0	6020193	9268845	契約 中 の データ プラン に 関係 なく 、 通話 を 契約 し てる と 楽天 でんわ に 申し込め ます か	お知らせ 設定 の 確認 方法 は
1	5118520	6957136	分 かけ 放題 を つけ たい	分 かけ 放題 から かけ 放題 に 変更 でき ます か
0	5118520	0769379	分 かけ 放題 を つけ たい	データ を 買い たい
1	1311424	6083594	分 かけ 放題 から かけ 放題 へ は どこ で でき ます か	番号 通知 が 出来る なら 、 ５ 分 かけ 放題 に 申し込み たい
0	1311424	6728045	分 かけ 放題 から かけ 放題 へ は どこ で でき ます か	住所 を 間違っ て しまい 不備 の メール が き た の です が 、 修正 は どの よう に する の です か
1	8602022	3729200	無 制限 の かけ 放題 に し たい です	通話 を かなり する ので 、 楽天 でんわ に 申し込み たい
0	8602022	6258539	無 制限 の かけ 放題 に し たい です	アクセス ポイント の 設定 が わかり ませ ん
1	9112761	5391966	通話 に 問題 が ない なら 、 ５ 分 かけ 放題 に 申し込み たい	分 かけ 放題 プラン から 楽天 でんわ に 変更 する 場合 、 いつ から 利用 開始 に なり ます か
0	9112761	3539106	通話 に 問題 が ない なら 、 ５ 分 かけ 放題 に 申し込み たい	本人 確認 の アップ ロード の 仕方 が わから ない
1	2596764	7889898	通話 料 が 高い ので 、 ５ 分 かけ 放題 に し たい	かけ 放題 に し たい
0	2596764	0216786	通話 料 が 高い ので 、 ５ 分 かけ 放題 に し たい	デジカメ で 撮影 し た 写真 は 、 アップ ロード でき ない の でしょ う か
1	6220121	9245881	今 迄 みたい に 通話 できる なら 、 かけ 放題 に 申し込み たい	分 かけ 放題 は 、 音声 付加 サービス から の 申し込み です か
0	6220121	7623852	今 迄 みたい に 通話 できる なら 、 かけ 放題 に 申し込み たい	家族 で データ シェア は 可能 です か
1	8542342	5083939	通信 障害 が ない なら 、 かけ 放題 に 申し込み たい	楽天 でんわ 分 かけ 放題 は カスタマーセンター で の 申し込み が 必要 です か
0	8542342	8421484	通信 障害 が ない なら 、 かけ 放題 に 申し込み たい	検索 を 止める
1	2523182	0858419	月額 円 の 楽天 でんわ から 無 制限 の かけ 放題 に 変更 し たい	固定 電話 に かけ られる なら 、 分 かけ 放題 に 申し込み たい です
0	2523182	1828944	月額 円 の 楽天 でんわ から 無 制限 の かけ 放題 に 変更 し たい	携帯 を 休止 し たい
1	7411315	2305293	相手 に 番号 通知 が 出来る なら 、 かけ 放題 に 申し込み たい	楽天 でんわ から 楽天 でんわ 分 かけ 放題 に 変更 し た 場合 、 いつ から 利用 でき ます か
0	7411315	6641624	相手 に 番号 通知 が 出来る なら 、 かけ 放題 に 申し込み たい	かけ 放題 の 申し込み は 、 楽天 でんわ マイ ページ から です か
1	9604000	2872360	データ から 通話 に 変更 する と 、 楽天 でんわ 分 かけ 放題 を 利用 でき ます か	５ 分 かけ 放題 もしくは かけ 放題 の 申し込み は し て い ます か
0	9604000	2701244	データ から 通話 に 変更 する と 、 楽天 でんわ 分 かけ 放題 を 利用 でき ます か	メンバーズステーション の ＩＤ と パスワード は どの を いれる ん です か
1	3546498	6957136	制限 の ない かけ 放題 に 変更 し たい です	分 かけ 放題 から かけ 放題 に 変更 でき ます か
0	3546498	4494793	制限 の ない かけ 放題 に 変更 し たい です	機種 だけ 変え たい
1	1743964	6383556	かけ 放題 プラン から 楽天 でんわ に 変更 する 場合 、 いつ から 利用 開始 に なり ます か	分 かけ 放題 から 無 制限 の かけ 放題 に 変更 し たい
0	1743964	7853995	かけ 放題 プラン から 楽天 でんわ に 変更 する 場合 、 いつ から 利用 開始 に なり ます か	住所 に 不備 が あっ た の です が どこ から 修正 でき ます か
1	4248140	8542342	から 楽天 でんわ 分 かけ 放題 の 申し込み は 可能 です か	通信 障害 が ない なら 、 かけ 放題 に 申し込み たい
0	4248140	3357548	から 楽天 でんわ 分 かけ 放題 の 申し込み は 可能 です か	書類 不備 メール が き た の です が 、 写真 を また 送ら ない と いけ ない の です か
1	4703736	5056365	分 かけ 放題 を 利用 し て いる が 、 かけ 放題 に 変更 は でき ます か	楽天 でんわ を 使っ て ます が 、 かけ 放題 に し たい
0	4703736	2446828	分 かけ 放題 を 利用 し て いる が 、 かけ 放題 に 変更 は でき ます か	カード が 届い た 後 で 、 プラン 変更 でき ます か
1	0123517	2596764	分 かけ 放題 を 仕事 で 利用 し たい	通話 料 が 高い ので 、 ５ 分 かけ 放題 に し たい
0	0123517	1374585	分 かけ 放題 を 仕事 で 利用 し たい	メンバーズステーション の を 入れ て も エラー に なり ます
1	9421950	0123517	仕事 で 通話 機能 を 使う ので 、 楽天 でんわ に 申し込み たい	分 かけ 放題 を 仕事 で 利用 し たい
0	9421950	4152612	仕事 で 通話 機能 を 使う ので 、 楽天 でんわ に 申し込み たい	データ通信 容量 の 変更 は 、 毎月 何 日 締め でしょ う か
1	3522871	9112761	かけ 放題 から 分 かけ 放題 に し たい	通話 に 問題 が ない なら 、 ５ 分 かけ 放題 に 申し込み たい
0	3522871	7816629	かけ 放題 から 分 かけ 放題 に し たい	申し込み 完了 後 に 送ら れ て くる ＩＤ 、 パスワード 記録 する の を 忘れ て 本人 確認 アップ でき ませ ん
1	0764659	7411315	分 かけ 放題 から 無 制限 の かけ 放題 へ は どこ で でき ます か	相手 に 番号 通知 が 出来る なら 、 かけ 放題 に 申し込み たい
0	0764659	8482677	分 かけ 放題 から 無 制限 の かけ 放題 へ は どこ で でき ます か	運転 経歴 証明 書 を 撮影 し た の です が 、 アップ ロード でき ませ ん
1	0790397	7986903	楽天 でんわ マイ ページ から 分 かけ 放題 は 申し込め ます か	月額 無料 の 楽天 でんわ を 利用 し て い ます が 、 かけ 放題 オプション へ の 申込み 方法 が わから ない
0	0790397	0879959	楽天 でんわ マイ ページ から 分 かけ 放題 は 申し込め ます か	登録 情報 は どこ で 確認 でき ます か
1	0827419	8602022	どんな にかけて も 通話 料 無料 なら 、 かけ 放題 に 申し込み たい	無 制限 の かけ 放題 に し たい です
0	0827419	9450027	どんな にかけて も 通話 料 無料 なら 、 かけ 放題 に 申し込み たい	申し込み を 終了 する
1	1406090	3556750	楽天 でんわ の かけ 放題 は どこ で でき ます か	楽天 でんわ かけ 放題 から 楽天 でんわ 分 かけ 放題 に 変更 し た 場合 、 いつ から 利用 でき ます か
0	1406090	0855878	楽天 でんわ の かけ 放題 は どこ で でき ます か	から へ 変更 し た が 、 キャンセル し たい
1	8658963	9054639	通信 障害 が ない なら 、 楽天 でんわ に 申し込み たい	５ 分 かけ 放題 を 使っ て い ます が 、 楽天 でんわ に し たい
0	8658963	0942755	通信 障害 が ない なら 、 楽天 でんわ に 申し込み たい	本人 確認 書類 アップ ロード の ログイン 情報 が 分から なく なっ た 場合 どう すれ ば 再度 ログイン 出来 ます か
1	0735402	0859238	楽天 でんわ を 使っ て ます が 、 ５ 分 かけ 放題 に し たい	月額 無料 の 楽天 でんわ から 完全 かけ 放題 に 変更 し たい
0	0735402	0855878	楽天 でんわ を 使っ て ます が 、 ５ 分 かけ 放題 に し たい	から へ 変更 し た が 、 キャンセル し たい
1	5735403	3413147	分 かけ 放題 に 最初 に 申し込ん で 、 後 から 変更 も でき ます か	楽天 でんわ に 申し込み たい
0	5735403	8729153	分 かけ 放題 に 最初 に 申し込ん で 、 後 から 変更 も でき ます か	検索 を 終了 し たい
1	6723320	0764659	分 かけ 放題 から 完全 かけ 放題 へ は どこ で でき ます か	分 かけ 放題 から 無 制限 の かけ 放題 へ は どこ で でき ます か
0	6723320	3296597	分 かけ 放題 から 完全 かけ 放題 へ は どこ で でき ます か	から へ 変更 し たい
1	2228986	1406090	楽天 でんわ もしくは ５ 分 かけ 放題 の 申し込み は し て い ます か	楽天 でんわ の かけ 放題 は どこ で でき ます か
0	2228986	6708474	楽天 でんわ もしくは ５ 分 かけ 放題 の 申し込み は し て い ます か	オプション 解約 後 の 料金 は い つ 確認 が でき ます か
1	8905981	7508659	楽天 でんわ の プラン を かけ 放題 に し たい です	データ から 通話 に 変更 する と 、 楽天 でんわ を 利用 でき ます か
0	8905981	6895735	楽天 でんわ の プラン を かけ 放題 に し たい です	マイナンバーカード 写真 付き で 本人 確認 でき ます か
1	5759282	9604000	通話 を かなり する ので 、 ５ 分 かけ 放題 に 申し込み たい	データ から 通話 に 変更 する と 、 楽天 でんわ 分 かけ 放題 を 利用 でき ます か
0	5759282	4166338	通話 を かなり する ので 、 ５ 分 かけ 放題 に 申し込み たい	設定 中 です が 、 申し込み 種別 が 分かり ませ ん
1	0283773	9245881	分 かけ 放題 から 制限 の ない かけ 放題 へ は どこ で でき ます か	分 かけ 放題 は 、 音声 付加 サービス から の 申し込み です か
0	0283773	4569964	分 かけ 放題 から 制限 の ない かけ 放題 へ は どこ で でき ます か	申し込み 種別 は 、 メンバーズステーション の どこ で 確認 でき ます か
1	7889898	8658963	かけ 放題 に し たい	通信 障害 が ない なら 、 楽天 でんわ に 申し込み たい
0	7889898	3708519	かけ 放題 に し たい	メンバーズステーション に ログイン する ため の パスワード を 忘れ まし た
1	8066519	9604000	５ 分 かけ 放題 に 申し込み たい	データ から 通話 に 変更 する と 、 楽天 でんわ 分 かけ 放題 を 利用 でき ます か
0	8066519	3824384	５ 分 かけ 放題 に 申し込み たい	プラン 変更 キャンセル が 可能 な の は いつ まで です か
1	6957136	3481843	分 かけ 放題 から かけ 放題 に 変更 でき ます か	仕事 で 通話 機能 を 使う ので 、 かけ 放題 に 申し込み たい
0	6957136	8755321	分 かけ 放題 から かけ 放題 に 変更 でき ます か	会話 を 終了 し たい
